,ZIP,Warehouse Name,distance_mi,LAT,LNG
630,80812,SLC1,490.49112291826145,39.619003,-102.849918
631,80813,SLC2,386.2869259933607,38.805388,-105.1585
632,80814,SLC2,380.86157034137744,38.959653,-105.194278
633,80815,SLC2,482.59754723736575,39.396721,-103.063405
634,80816,SLC2,377.0932788312968,38.857741,-105.315864
635,80817,SLC2,414.1477991223912,38.63858,-104.686472
636,80818,SLC2,461.057705746445,39.385913,-103.480409
637,80819,SLC2,389.5611522344095,38.972089,-105.01751
638,80820,SLC2,365.2286616334738,38.838655,-105.561131
639,80821,SLC2,473.74462820318826,38.979959,-103.371474
640,80822,SLC1,498.6399333137319,39.701982,-102.670238
641,80823,SLC2,477.840802655649,38.663464,-103.419186
642,80824,SLC1,508.2866388774178,39.650575,-102.498735
643,80825,SLC2,504.6328262902577,38.833241,-102.827694
644,80827,SLC2,364.8336147621282,39.056483,-105.467359
645,80828,SLC2,448.0843284427901,39.327762,-103.74791
646,80829,SLC2,396.9994799925506,38.829017,-104.935144
647,80830,SLC2,444.2512223418241,39.114246,-103.894118
648,80831,SLC2,415.96316296319,38.994216,-104.490669
649,80832,SLC2,440.000727492637,39.017177,-104.012874
650,80833,SLC2,447.77490680050266,38.763233,-103.96509
651,80834,SLC2,493.9986559123508,39.264797,-102.88364
652,80835,SLC2,435.68784808912204,39.218328,-104.023254
653,80836,SLC2,509.0445268597485,39.298004,-102.584444
654,80840,SLC2,396.98872577620676,38.994694,-104.861958
655,80860,SLC2,392.2763552254862,38.705809,-105.088278
656,80861,SLC2,501.36921924873604,39.331861,-102.721831
657,80862,SLC2,491.98253603987456,38.873184,-103.057916
658,80863,SLC2,383.6216158418784,39.019995,-105.113586
659,80864,SLC2,437.98629115003337,38.697666,-104.186739
660,80902,SLC2,407.2711613967968,38.669371,-104.807956
661,80903,SLC2,403.02036810670796,38.831526,-104.815062
662,80904,SLC2,399.2473360880137,38.860829,-104.876163
663,80905,SLC2,402.1344967702426,38.81891,-104.838348
664,80906,SLC2,401.69329292837136,38.752602,-104.878232
665,80907,SLC2,401.3428651409777,38.878231,-104.827015
666,80908,SLC2,404.63020955548643,39.047589,-104.690533
667,80909,SLC2,404.5354791562499,38.853475,-104.775218
668,80910,SLC2,405.5231016510515,38.812066,-104.77458
669,80911,SLC2,409.5009081940193,38.752916,-104.723477
670,80913,SLC2,409.80410997553315,38.687472,-104.748776
671,80914,SLC2,408.8147406484673,38.824001,-104.704184
672,80915,SLC2,407.57183031737213,38.849797,-104.717043
673,80916,SLC2,409.0138613535467,38.806967,-104.708018
674,80917,SLC2,405.316055726938,38.886168,-104.745264
675,80918,SLC2,402.99005479841065,38.910393,-104.780362
676,80919,SLC2,398.9187811030915,38.928208,-104.852626
677,80920,SLC2,402.43951413298436,38.957598,-104.77077
678,80921,SLC2,394.0524379850163,39.016197,-104.910486
679,80922,SLC2,407.4871439105786,38.890614,-104.700604
680,80923,SLC2,405.9617273031029,38.926861,-104.714813
681,80924,SLC2,404.73691035976833,38.968013,-104.721285
682,80925,SLC2,412.8057645062134,38.757764,-104.655864
683,80926,SLC2,403.36699061092014,38.634733,-104.903006
684,80927,SLC2,408.80127982025664,38.928577,-104.658334
685,80928,SLC2,428.705422815729,38.630403,-104.401634
686,80929,SLC2,412.7164815177536,38.82471,-104.626967
687,80930,SLC2,419.27751093772287,38.814229,-104.502478
688,80938,SLC2,409.0669476387001,38.904705,-104.663409
689,80939,SLC2,408.9598760818822,38.877605,-104.677361
690,80951,SLC2,410.0545315270549,38.907884,-104.642636
